task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	10/061ad5	27128	snp (S1_vGluT2_3)	COMPLETED	0	2020-12-03 06:15:49.700	2m 8s	2m 7s	116.7%	1 GB	18.5 GB	5.9 GB	562.7 MB
42	b7/0094fa	5881	snp (S1_Gad2_1)	COMPLETED	0	2020-12-03 06:17:57.387	2m 7s	2m 6s	119.3%	1.1 GB	18.5 GB	6 GB	606.5 MB
41	38/58648d	30898	snp (RT_vGluT2_1)	COMPLETED	0	2020-12-03 06:16:25.078	3m 50s	3m 50s	127.6%	1 GB	18.5 GB	7.4 GB	1.6 GB
43	96/8d3ff2	15955	snp (S1_Gad2_3)	COMPLETED	0	2020-12-03 06:20:04.204	2m 2s	2m 1s	116.4%	1.1 GB	18.5 GB	5.9 GB	532 MB
44	9e/9f887d	17684	snp (S1_Gad2_2)	COMPLETED	0	2020-12-03 06:20:15.232	2m 13s	2m 13s	110.7%	1.2 GB	18.5 GB	6 GB	612.8 MB
45	44/211179	26827	snp (S1_vGluT2_2)	COMPLETED	0	2020-12-03 06:22:05.936	1m 44s	1m 43s	105.3%	1 GB	18.5 GB	5.6 GB	310.8 MB
47	65/8bfd13	3740	snp (S1_vGluT2_1)	COMPLETED	0	2020-12-03 06:23:49.501	2m 26s	2m 26s	121.9%	1.3 GB	18.5 GB	6.2 GB	751.4 MB
46	1c/1d324e	29471	snp (RT_vGluT2_3)	COMPLETED	0	2020-12-03 06:22:28.329	4m 38s	4m 37s	129.4%	1022.1 MB	18.5 GB	8 GB	1.9 GB
49	fc/a62a96	14881	rates (RT_Gad2_1)	COMPLETED	0	2020-12-03 06:26:15.287	2m 53s	2m 53s	80.7%	780.3 MB	1.4 GB	5.5 GB	22.5 KB
48	5c/c01353	17757	utrrates (RT_Gad2_1)	COMPLETED	0	2020-12-03 06:27:05.849	3m 58s	3m 58s	79.9%	283.2 MB	1.1 GB	4.9 GB	14.3 MB
50	24/d6ac4e	21009	tcperreadpos (RT_Gad2_1)	COMPLETED	0	2020-12-03 06:29:08.726	6m 47s	6m 46s	91.7%	772.7 MB	1.4 GB	5.5 GB	53.2 KB
51	ed/c67675	24186	count (RT_Gad2_1)	COMPLETED	0	2020-12-03 06:31:04.048	6m 29s	6m 29s	85.9%	205.9 MB	816.5 MB	5.6 GB	28.3 MB
57	8b/0bcc03	1174	tcperreadpos (RT_Gad2_2)	COMPLETED	0	2020-12-03 06:37:32.893	10m 45s	10m 44s	93.5%	777.6 MB	1.4 GB	5.7 GB	53.2 KB
52	23/4bc6a3	30985	tcperutrpos (RT_Gad2_1)	COMPLETED	0	2020-12-03 06:35:55.397	13m 32s	13m 31s	93.9%	74.3 MB	764.2 MB	4.8 GB	79.2 KB
54	9b/0a378e	13378	rates (RT_Gad2_2)	COMPLETED	0	2020-12-03 06:48:17.691	4m 10s	4m 10s	85.6%	778.3 MB	1.4 GB	5.7 GB	22.6 KB
55	3e/d11380	14881	utrrates (RT_Gad2_2)	COMPLETED	0	2020-12-03 06:49:26.996	6m 3s	6m 3s	82.8%	157.3 MB	880.2 MB	5.5 GB	14.4 MB
53	27/177b92	23938	count (RT_Gad2_2)	COMPLETED	0	2020-12-03 06:55:29.788	10m 4s	10m 3s	88.3%	209.7 MB	823.9 MB	6.2 GB	32.3 MB
59	a6/40e266	2768	rates (RT_Gad2_3)	COMPLETED	0	2020-12-03 07:05:33.362	3m 39s	3m 38s	82.4%	770.7 MB	1.4 GB	5.6 GB	22.5 KB
56	06/442342	19407	tcperutrpos (RT_Gad2_2)	COMPLETED	0	2020-12-03 06:52:27.665	22m 6s	22m 6s	94.9%	74.3 MB	764.2 MB	5.5 GB	79.2 KB
