"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05205","mmu05205","Proteoglycans in cancer","74/2092","202/8384",0.000125665442645185,0.000570880153730985,0.000315580886041293,"216795/11836/11651/19353/109880/21844/20848/11652/19047/434233/26395/18749/18747/16001/12540/12387/11848/14365/23797/13982/17931/13179/21859/19878/13207/15251/13039/12325/22418/15529/66911/14083/29857/12575/18607/20662/12322/18569/15461/16412/22409/16410/20779/18706/18176/56717/11461/16653/18479/13043/11733/12367/18709/17532/109676/14733/12402/19045/18708/18750/18751/26416/108058/12323/75705/69632/22059/14784/11465/26417/26413/11735/329251/18752",74
"mmu05210","mmu05210","Colorectal cancer","38/2092","88/8384",0.000131819716412946,0.000590403800272067,0.000326373500977938,"11836/11651/19353/109880/12028/11652/26395/11789/12387/11848/23797/27015/26419/56637/12575/17685/20662/12015/21416/15461/18706/18176/16842/12371/56717/16653/12367/18709/17127/72993/18708/26414/16476/22059/14784/26417/26413/13063",38
"mmu05225","mmu05225","Hepatocellular carcinoma","65/2092","173/8384",0.000137242270282108,0.000606153360412645,0.000335079811946083,"216795/20587/11836/14871/11651/109880/13544/50868/12028/14866/11652/26395/16001/11789/12567/12387/12048/93760/14365/19211/23797/27015/22418/56637/83797/12575/72057/20662/93687/67155/12015/21416/14873/68094/15461/22409/66447/18706/56456/18176/16842/56717/13542/11461/83766/16653/29861/26992/18709/17127/20588/18708/66923/212398/18750/18751/14862/22059/14784/11465/26417/26413/239985/26462/18752",65
"mmu04072","mmu04072","Phospholipase D signaling pathway","57/2092","148/8384",0.000162344281489155,0.00070311251383829,0.000388678549523318,"56077/18591/28169/11651/19158/108069/11652/26395/11848/72318/23797/14816/14360/17311/432530/18806/210044/11514/224129/11512/108068/20662/15461/18590/14683/18706/18176/18720/67916/19744/56717/16653/52123/18709/17532/55979/380921/18717/217480/11998/14745/104418/18708/11845/11840/108071/18750/18795/50784/56632/19229/14784/11841/26417/268934/26413/227333",57
"mmu05033","mmu05033","Nicotine addiction","21/2092","40/8384",0.000163617377434067,0.00070311251383829,0.000388678549523318,"14395/53623/14394/14399/14799/14409/14802/14810/14397/14400/14812/140919/14396/14402/14800/12286/22348/242443/110886/14811/72961",21
"mmu03010","mmu03010","Ribosome","52/2092","133/8384",0.000199686279057598,0.000835529430793635,0.000461878235493337,"107732/66163/76846/267019/66480/20103/19921/216767/94066/68537/68565/94064/94063/20088/27370/77721/67427/19934/19988/67994/27397/225215/94062/27395/64657/94065/20090/20055/14109/100502825/67281/76808/24030/19981/26451/50529/19944/66475/66292/67681/64659/19899/19941/20068/27176/11837/54127/65019/67248/22186/67945/66845",52
"mmu04915","mmu04915","Estrogen signaling pathway","52/2092","133/8384",0.000199686279057598,0.000835529430793635,0.000461878235493337,"12313/20683/11651/11652/26395/18749/18747/17978/12915/12315/23797/16661/13982/14816/22027/432530/17977/210044/18753/55960/11514/224129/11512/15516/20662/54393/14682/15461/12912/16519/11909/14683/20779/18706/18176/16653/14228/14681/18709/18667/14678/12314/19401/16524/242425/18708/11911/18795/16476/14784/26417/26413",52
"mmu04710","mmu04710","Circadian rhythm","17/2092","30/8384",0.000204677607973697,0.000838122705496604,0.000463311790195077,"103583/217166/50789/56438/27373/104318/12234/12912/108079/12753/26965/20893/19883/225998/21402/19082/12953",17
"mmu04730","mmu04730","Long-term depression","28/2092","60/8384",0.00020557726738596,0.000838122705496604,0.000463311790195077,"11836/53623/109880/26395/16001/51792/14816/19052/14799/14682/15461/14683/18176/54195/18125/16653/14681/14678/14800/12286/14672/14687/18750/18795/18751/26417/26413/18752",28
"mmu04070","mmu04070","Phosphatidylinositol signaling system","40/2092","96/8384",0.00022510762823508,0.000906129440237412,0.000500905715060072,"56077/320634/12313/19211/170749/108083/12315/104015/20975/84095/117150/269180/18718/228550/18706/18720/52858/18709/77116/27399/76500/327655/380921/18717/219024/217480/12314/234515/320404/54384/104418/18708/101490/18750/18795/18751/110911/242291/227333/18752",40
"mmu04371","mmu04371","Apelin signaling pathway","53/2092","137/8384",0.000238308485792067,0.000947276231023465,0.000523651541148357,"12313/17261/11651/16890/11652/26395/18749/18747/17260/56486/12315/23797/14219/432530/14706/210044/11514/224129/11512/14682/15461/18176/108079/56717/14688/19017/18125/14693/57436/16653/110891/17258/93739/14697/17127/17532/14678/56208/14701/12314/13653/14700/14702/18754/14708/18795/20541/56632/26417/26413/19082/14704/110893",53
"mmu04068","mmu04068","FoxO signaling pathway","51/2092","131/8384",0.000258879530887704,0.00101634186200358,0.000561830820769936,"11836/11651/109880/12576/20869/20848/11652/26395/16001/20656/26556/19211/18099/58231/56486/23797/14816/20393/15228/26419/67731/27373/29857/252870/12575/18607/20662/15461/26557/18706/18176/108079/12452/57436/16653/19651/18709/93739/17127/67526/68401/384783/18708/26414/56484/26416/14784/26417/26413/19082/12176",51
"mmu05170","mmu05170","Human immunodeficiency virus 1 infection","79/2092","223/8384",0.000264969874798148,0.00102756609982696,0.000568035546743141,"12313/11651/19353/12317/12028/11652/11769/26395/12048/11764/68652/12928/12315/23797/103583/14706/19056/26419/56438/14083/29857/224105/12504/21356/14682/13194/12015/12234/15461/14827/56045/18706/18176/19055/12371/56717/14688/26965/14693/16653/70584/18479/18481/16179/99375/12367/11765/14681/18709/14697/14678/19058/14672/21402/14701/12314/14700/321006/18708/14702/26414/14708/18750/19823/16476/18751/26416/67673/12631/19229/12010/12632/26417/26413/13063/14704/14964/18752/67923",79
"mmu04926","mmu04926","Relaxin signaling pathway","50/2092","128/8384",0.000269468064427458,0.00103241981310761,0.000570718665306093,"11651/11652/26395/18749/18747/12915/23797/432530/14706/210044/26419/11514/29857/224129/11512/20662/22340/15461/12912/11909/14683/20779/18706/18176/18762/14688/18125/14693/16653/14681/18709/14697/14678/26398/14701/14700/19773/18708/11911/14702/26414/14708/18750/18795/16476/26416/14784/26417/26413/14704",50
"mmu04962","mmu04962","Vasopressin-regulated water reabsorption","22/2092","44/8384",0.000288248268816566,0.00109122558909129,0.000603226326972012,"19344/53869/18749/18747/56455/19345/68097/22318/11512/67665/192662/69654/12912/13427/14683/22428/13191/18195/234663/11998/14570/19326",22
