"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070990","GO:0070990","snRNP binding","8/4719","10/22707",0.000103712881631267,0.000764628303791304,0.000485206463772011,"20641/68988/67332/20630/20638/68011/20637/20643",8
"GO:0042826","GO:0042826","histone deacetylase binding","43/4719","121/22707",0.000121634989910126,0.000890936809211828,0.000565357437723071,"11991/20683/17261/19353/79221/17260/12419/52592/64383/20807/21974/54401/20185/78912/15182/22433/22627/14534/15251/68558/26419/15460/15516/11545/67991/16842/71514/20602/17258/17257/68219/19401/20473/18673/216874/268903/116871/12608/19646/22059/107932/71954/23942",43
"GO:0001046","GO:0001046","core promoter sequence-specific DNA binding","22/4719","49/22707",0.000125864524534803,0.000915968926937144,0.000581241946917934,"20587/21374/26914/15081/21429/109910/20846/77264/229906/14472/51788/13653/229584/98403/240476/12608/22059/242466/15078/622675/237336/56461",22
"GO:0051015","GO:0051015","actin filament binding","64/4719","200/22707",0.000127526268133945,0.000919782413277402,0.000583661852397007,"360013/23790/22388/76709/67771/109711/12343/56431/102866/11749/270058/66713/13169/77579/94040/13829/211401/56370/23789/98733/74117/74192/59069/12345/66146/231148/11518/56378/14086/56443/73178/11519/71960/13043/14300/326618/72042/71602/22003/14457/76499/17918/56320/208076/68524/16796/230234/217124/68810/71653/235431/217692/110380/217125/12569/60595/57778/12631/242894/12632/17118/68089/330319/64009",64
"GO:0016410","GO:0016410","N-acyltransferase activity","41/4719","114/22707",0.000128019360713255,0.000919782413277402,0.000583661852397007,"78783/67877/74763/23989/76719/217031/17977/14534/18107/78689/74195/72117/69612/72057/73242/19708/76055/18108/241447/11909/229906/59001/70088/12753/71777/68396/29861/15161/70646/51812/228829/217127/109115/228019/216825/231713/269642/101206/72195/108143/93898",41
"GO:0035198","GO:0035198","miRNA binding","15/4719","28/22707",0.000131571458470571,0.000933412611036503,0.000592311100695056,"53379/56200/80913/26919/20286/80912/214150/236732/239528/17184/106205/103284/15568/381305/236511",15
"GO:0035925","GO:0035925","mRNA 3'-UTR AU-rich region binding","15/4719","28/22707",0.000131571458470571,0.000933412611036503,0.000592311100695056,"11991/15571/16549/77134/12877/50911/15572/21843/68219/16201/94230/666794/207181/15568/21841",15
"GO:0001540","GO:0001540","amyloid-beta binding","25/4719","59/22707",0.000141223512487324,0.000989441752085101,0.000627865240218243,"53623/14799/12759/16432/319924/64294/56177/14810/13010/94043/16975/11787/11784/23821/16835/14800/11785/100017/65945/232975/20660/77018/245607/19122/225372",25
"GO:0030145","GO:0030145","manganese ion binding","25/4719","59/22707",0.000141223512487324,0.000989441752085101,0.000627865240218243,"14423/16795/18747/20656/77015/17308/19042/218271/210044/23955/70640/170750/80752/14645/11352/58193/15356/52858/235574/107895/268510/217664/19043/18624/108148",25
"GO:0001222","GO:0001222","transcription corepressor binding","12/4719","20/22707",0.000149133610203792,0.00103841180438196,0.000658939928125918,"15191/15182/170930/217166/71702/22218/19883/12217/16969/268448/20473/26875",12
