"","gene_name","log2FC_deseq2.x","padj.x","avg.RPM.ctrl.x","log2FC_deseq2.y","padj.y","avg.RPM.ctrl.y"
"44","ENSMUSG00000021024",7.72905568262905,0.0994790656315211,426.163798543459,-3.27126783773315,0.793831816475504,450.243893672068
"81","ENSMUSG00000025968",7.26398174579329,0.0994790656315211,126.802374213297,-4.26150892020657,0.79074819448343,83.3198004078969
"213","ENSMUSG00000068749",7.51770412600619,0.102879655131126,102.826314346215,-3.81338523750872,0.841703415378135,44.2112505727223
"85","ENSMUSG00000026469",6.60498040390132,0.129666305953817,126.077204232632,-3.61824135008012,0.815952594107479,191.548374938635
"143","ENSMUSG00000035726",7.21126449031545,0.0994790656315211,96.6825212301836,-3.4556395684902,0.821717747193926,140.244726038926
"43","ENSMUSG00000020864",6.96691996097094,0.0994790656315211,273.55193600647,-3.23198025236899,0.752306632600603,288.955466164589
"214","ENSMUSG00000071657",7.08119358133654,0.101126656628145,367.700134049969,-3.25195216905139,0.838361905342466,367.383160320908
"29","ENSMUSG00000017291",5.64234987601512,0.16611884378475,181.21610230716,-5.54385133285819,0.744512064422335,352.509605225604
"132","ENSMUSG00000032612",5.06209559335201,0.23365543186624,140.121778700159,-5.55815682429856,0.752306632600603,149.134533294141
"121","ENSMUSG00000031166",7.4964550626507,0.104413411143779,462.211379980461,-5.17589182668056,0.744512064422335,512.470543040399
"142","ENSMUSG00000034902",6.59399701880742,0.129666305953817,175.375104670441,-4.67958806469434,0.813494648319604,123.064848327949
"136","ENSMUSG00000033768",6.94645241424007,0.100911257924683,362.07780689627,-4.55835720203185,0.815952594107479,335.142809731336
"148","ENSMUSG00000036948",6.89437124108572,0.101530504351357,54.9138486314892,-4.63815578668762,0.752306632600603,90.2275389441246
"59","ENSMUSG00000022389",6.59758382007687,0.0994790656315211,96.3584381312549,-6.16955462198862,0.744512064422335,80.3725423449855
"119","ENSMUSG00000030987",7.05848589343908,0.0994790656315211,306.3120434312,-5.56150793105816,0.744512064422335,320.742567946661
"200","ENSMUSG00000058672",6.92523305544184,0.101530504351357,404.651558568543,-5.77368207860751,0.744512064422335,269.086491187168
"75","ENSMUSG00000025068",8.05063329182978,0.0994790656315211,353.731088307356,-5.78957221577557,0.744512064422335,223.891441824334
"9","ENSMUSG00000003500",7.47887079429006,0.102879655131126,58.902924683155,-6.31916403492758,0.744512064422335,138.032444401712
"41","ENSMUSG00000020289",7.52034830814069,0.102879655131126,127.031031000691,-6.28753118360898,0.744512064422335,57.8974892309996
"23","ENSMUSG00000013160",-3.48601692278705,0.380279499592769,85.1625797803622,0.196638592598085,0.993871679664425,70.2778189536242
"151","ENSMUSG00000037400",-3.88869043482845,0.38414278670424,260.780199076318,1.78843730184251,0.945422673481043,193.476089424196
"201","ENSMUSG00000058793",-0.0697449691669948,0.991916489320209,459.309700506045,1.64412370194,0.9296406363292,495.089349376421
"82","ENSMUSG00000026245",-0.679945899180108,0.867103492675494,451.780482327073,1.45789257014964,0.964569257437607,409.968703170887
"138","ENSMUSG00000033953",-0.601230632538461,0.91708272751334,259.689677102074,1.5747171669396,0.931033334536483,260.498473980496
"72","ENSMUSG00000024646",-0.291540452197042,0.969298676843956,680.894959012046,1.49004168426346,0.952804663341057,285.21649998469
"188","ENSMUSG00000052751",-0.350146920956622,0.962290190191351,198.819930361705,1.29209223391051,0.974505030171927,154.07894705642
"30","ENSMUSG00000017412",-1.34654668543445,0.812627006504287,259.472327954189,0.604678320987637,0.974505030171927,357.722138849186
"173","ENSMUSG00000043991",-1.1236060776313,0.77263964908651,243.228350203175,1.03330833641263,0.974505030171927,392.330101012918
"31","ENSMUSG00000017466",-1.6516285533732,0.693174883881668,134.48505479398,1.23063118822773,0.974505030171927,194.065740612092
"66","ENSMUSG00000024012",-2.29548527788334,0.636406857498389,1374.39137203453,1.37702872670585,0.96880821468733,1434.73268493883
"155","ENSMUSG00000038805",2.60934679917355,0.53924231520536,93.8057966945509,-0.326783523203257,0.989844530319054,283.368428307879
"14","ENSMUSG00000005871",2.87993965012494,0.404859740366409,355.394809549268,-0.0886774013246206,0.993871679664425,469.214245914427
"189","ENSMUSG00000053192",3.06598356418804,0.31774971323857,592.276044447599,-0.00232386683204143,0.999600174674321,614.577807209761
"159","ENSMUSG00000039159",3.1392880246546,0.339894576576213,199.008068626789,-0.378631645825692,0.987594293865548,286.419661366482
