task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
32	36/2426ba	11410	filter (S1_vGluT2_1)	COMPLETED	0	2020-12-04 02:43:37.988	6m 14s	6m 14s	78.0%	987.1 MB	1.7 GB	3.1 GB	1.7 GB
34	a3/5e608f	21440	filter (S1_Gad2_3)	COMPLETED	0	2020-12-04 02:49:39.457	4m 16s	4m 16s	80.7%	966.2 MB	1.7 GB	1.9 GB	1.1 GB
35	6c/03d994	22312	filter (S1_Gad2_1)	COMPLETED	0	2020-12-04 02:49:52.423	4m 56s	4m 56s	79.1%	979 MB	1.7 GB	2.2 GB	1.2 GB
37	73/44faff	30623	snp (RT_Gad2_1)	COMPLETED	0	2020-12-04 02:54:48.865	2m 47s	2m 47s	114.0%	1.1 GB	18.5 GB	6.3 GB	853.3 MB
36	4a/147daf	28439	filter (S1_Gad2_2)	COMPLETED	0	2020-12-04 02:53:55.266	5m 16s	5m 15s	79.0%	977.7 MB	1.7 GB	2.3 GB	1.3 GB
38	39/c72c94	6822	snp (RT_Gad2_2)	COMPLETED	0	2020-12-04 02:57:35.952	3m 49s	3m 49s	119.3%	1.1 GB	18.5 GB	7 GB	1.3 GB
39	34/501c72	12786	snp (RT_vGluT2_1)	COMPLETED	0	2020-12-04 02:59:10.791	4m 1s	4m 1s	126.4%	1.1 GB	18.5 GB	7.4 GB	1.6 GB
41	7e/1fa79a	31529	snp (RT_Gad2_3)	COMPLETED	0	2020-12-04 03:03:12.106	3m 8s	3m 8s	122.0%	1 GB	18.5 GB	6.7 GB	1 GB
40	cb/ca1620	22998	snp (RT_vGluT2_3)	COMPLETED	0	2020-12-04 03:01:24.771	4m 59s	4m 58s	124.0%	1.1 GB	18.5 GB	8 GB	1.9 GB
42	16/17e5a5	13199	snp (S1_vGluT2_2)	COMPLETED	0	2020-12-04 03:06:20.691	1m 48s	1m 47s	102.2%	1.1 GB	18.5 GB	5.6 GB	310.8 MB
43	e3/93ee54	13482	snp (S1_vGluT2_3)	COMPLETED	0	2020-12-04 03:06:23.299	2m 17s	2m 17s	112.9%	1 GB	18.5 GB	5.9 GB	562.7 MB
44	dc/35f021	22728	snp (S1_vGluT2_1)	COMPLETED	0	2020-12-04 03:08:08.231	2m 31s	2m 30s	118.8%	1.1 GB	18.5 GB	6.2 GB	751.4 MB
45	d0/35728c	26141	snp (S1_Gad2_3)	COMPLETED	0	2020-12-04 03:08:40.672	2m 4s	2m 3s	115.9%	1.1 GB	18.5 GB	5.9 GB	532 MB
46	a2/0fcfb1	3012	snp (S1_Gad2_1)	COMPLETED	0	2020-12-04 03:10:38.834	2m 12s	2m 12s	108.4%	1.1 GB	18.5 GB	6 GB	606.5 MB
49	8b/dd611a	3822	rates (RT_Gad2_1)	COMPLETED	0	2020-12-04 03:10:44.212	3m 1s	3m	80.1%	769.5 MB	1.4 GB	5.5 GB	22.5 KB
51	80/5e4a61	12625	utrrates (RT_Gad2_1)	COMPLETED	0	2020-12-04 03:13:44.771	4m 2s	4m 2s	78.9%	426.3 MB	1.2 GB	4.9 GB	14.3 MB
48	e7/455ecf	10786	tcperreadpos (RT_Gad2_1)	COMPLETED	0	2020-12-04 03:12:50.804	6m 57s	6m 56s	91.6%	774.8 MB	1.4 GB	5.5 GB	53.2 KB
47	f0/654cb3	21685	count (RT_Gad2_1)	COMPLETED	0	2020-12-04 03:19:47.326	6m 27s	6m 26s	88.0%	191.5 MB	816.5 MB	5.6 GB	28.3 MB
52	aa/03b92c	30527	snp (S1_Gad2_2)	COMPLETED	0	2020-12-04 03:26:13.919	2m 5s	2m 5s	113.7%	1 GB	18.5 GB	6 GB	612.8 MB
50	c6/34731d	18451	tcperutrpos (RT_Gad2_1)	COMPLETED	0	2020-12-04 03:17:46.786	13m 34s	13m 34s	93.8%	73.8 MB	764.2 MB	4.8 GB	79.2 KB
53	28/541fe2	4291	rates (RT_Gad2_2)	COMPLETED	0	2020-12-04 03:28:19.159	4m 12s	4m 12s	83.4%	842.3 MB	1.5 GB	5.7 GB	22.6 KB
57	19/23b1f9	7240	tcperreadpos (RT_Gad2_2)	COMPLETED	0	2020-12-04 03:31:21.229	10m 59s	10m 58s	93.6%	778.4 MB	1.4 GB	5.7 GB	53.3 KB
56	50/fcc2ed	21648	count (RT_Gad2_2)	COMPLETED	0	2020-12-04 03:42:19.776	10m 3s	10m 3s	88.3%	204.3 MB	823.2 MB	6.2 GB	32.3 MB
55	98/58362d	9446	tcperutrpos (RT_Gad2_2)	COMPLETED	0	2020-12-04 03:32:31.402	22m 10s	22m 9s	95.5%	74.3 MB	764.2 MB	5.5 GB	79.2 KB
54	1d/f0ea03	29459	utrrates (RT_Gad2_2)	COMPLETED	0	2020-12-04 03:52:23.084	6m 3s	6m 3s	81.5%	71.9 MB	764.1 MB	5.5 GB	14.4 MB
59	fa/efa0c4	4806	rates (RT_vGluT2_1)	COMPLETED	0	2020-12-04 03:58:25.992	4m 55s	4m 54s	87.2%	773.5 MB	1.4 GB	5.9 GB	22.5 KB
61	42/aa7dbe	31833	tcperreadpos (RT_vGluT2_1)	COMPLETED	0	2020-12-04 03:54:41.121	13m 25s	13m 25s	94.5%	766.3 MB	1.4 GB	5.9 GB	53.2 KB
58	c8/cd740a	11713	utrrates (RT_vGluT2_1)	COMPLETED	0	2020-12-04 04:03:20.565	7m 12s	7m 11s	84.3%	480.9 MB	1.2 GB	5.9 GB	14.5 MB
60	12/354a85	20181	count (RT_vGluT2_1)	COMPLETED	0	2020-12-04 04:10:32.092	12m 27s	12m 27s	88.5%	229.7 MB	841.5 MB	6.6 GB	35 MB
